SBin	Comp	Uncomp
0	2796	10985408
1	2818	17430041
2	2841	28779390
3	2855	39280328
4	2875	59811117
5	2892	86288922
6	2910	128432870
7	2928	189784806
8	2947	289350134
9	2970	470715597
10	2993	771819254
11	3019	1362993029
12	3046	2435629307
13	3078	4874745594
14	3113	10449106756
15	3154	25203982270
16	3201	70568313668
17	3259	248038187236
18	3410	6492281743022
19	3733	7174461740685124
20	3725	5933472781838554
21	3395	4681597697141
22	3231	134948105877
23	3132	15909829729
24	3061	3375500443
25	3004	993098544
26	2958	363227344
27	2918	153231184
28	2868	52169416
29	2813	15746901
30	2765	5580814
31	2723	2217469
32	2694	1203092
33	2658	552065
34	2632	314611
35	2566	74487
36	2587	116476
37	2509	21647
38	2270	122
39	371	3114
40	367	2806
41	470	26254
42	262	293
43	2487	13368
44	452	17802
45	2498	17058
46	2447	5637
47	438	13115
48	2425	3534
49	2397	1934
50	292	558
51	2489	14195
52	447	16115
53	2430	3905
54	364	2653
55	2435	4394
56	2465	8304
57	2527	32240
58	495	45183
59	411	7354
60	460	21066
61	459	20882
62	2470	9257
63	413	7689
64	2578	97161
65	2538	40855
66	462	22167
